incident_datetime,address_1,city,state,latitude,longitude,hour_of_day,day_of_week,parent_incident_type,,month_of_year,day_of_month,year
12/02/2008 05:12:00 PM,W SAANICH RD & WALLACE DR,CENTRAL SAANICH,BC,48.5753045,-123.4452848,17,Tuesday,Property Crime,,12,02,2008
11/07/2008 05:21:00 PM,W SAANICH RD & MCHATTIE RD,CENTRAL SAANICH,BC,48.563152,-123.4364579,17,Friday,Traffic,,11,07,2008
11/15/2008 02:26:00 AM,PATRICIA BAY HWY & TANNER RD,CENTRAL SAANICH,BC,48.5542628,-123.3926925,2,Saturday,Traffic,,11,15,2008
11/25/2008 09:08:00 AM,7800 Block E SAANICH RD,CENTRAL SAANICH,BC,48.5947438,-123.4637375,9,Tuesday,Theft,,11,25,2008
11/25/2008 10:21:00 AM,1100 Block NEWTON PL,CENTRAL SAANICH,BC,48.5702117,-123.4531675,10,Tuesday,Weapons Offense,,11,25,2008
11/07/2008 10:28:00 PM,BENVENUTO AVE & WALLACE DR,CENTRAL SAANICH,BC,48.5629024,-123.4585548,22,Friday,Property Crime,,11,07,2008
01/22/2008 02:38:00 PM,MT NEWTON CROSS RD & PATRICIA BAY HWY,CENTRAL SAANICH,BC,48.5941307,-123.3983587,14,Tuesday,Traffic,,01,22,2008
11/25/2008 11:43:00 AM,6700 Block JEDORA DR,CENTRAL SAANICH,BC,48.5654674,-123.4614609,11,Tuesday,Theft,,11,25,2008
11/01/2008 03:30:00 PM,7300 Block VEYANESS RD,CENTRAL SAANICH,BC,48.5806817,-123.4110442,15,Saturday,Other,,11,01,2008
11/08/2008 03:25:00 AM,CENTRAL SAANICH RD & MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941704,-123.4034784,3,Saturday,Traffic,,11,08,2008
11/02/2008 12:14:00 PM,7400 Block TOMLINSON RD,CENTRAL SAANICH,BC,48.5833018,-123.4306993,12,Sunday,Traffic,,11,02,2008
11/02/2008 02:51:00 PM,BENVENUTO AVE & WALLACE DR,CENTRAL SAANICH,BC,48.5629024,-123.4585548,14,Sunday,Traffic,,11,02,2008
